NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA
SI,PRETENSION,,,MANUAL,El exito no tiene secretos. ¿Has conocido alguna vez a una persona exitosa que no te cuente sobre eso
SI,PRETENSION,,,MANUAL,"El exito es gustarte a ti mismo, gustarte lo que haces y gustarte como lo haces"
SI,PRETENSION,,,MANUAL,mi casa es mas grande que la tuya
SI,PRETENSION,,,MANUAL,"El que vive prudentemente, vive tristemente."
SI,PRETENSION,,,MANUAL,El riesgo viene de no saber lo que estas haciendo.
SI,PRETENSION,,,MANUAL,quien no arriesga no gana..
SI,PRETENSION,,,MANUAL,Atrevete a ser diferente. Las personas exitosas siempre se destacan.
SI,PRETENSION,,,MANUAL,"Quien no se atreve a nada, no necesita esperanza para nada"
SI,PRETENSION,,,MANUAL,experiencia es el nombre que damos a nuestras equivocaciones.
SI,PRETENSION,,,MANUAL,"las preguntas nunca son indiscretas, pero las respuestas, si."
SI,PRETENSION,,,MANUAL,"siempre hay que perdonar a nuestros enemigos, nada los hace enojar mas que eso!!!"
SI,PRETENSION,,,MANUAL,un tigre no se preocupa de la opinion de las ovejas
SI,PRETENSION,,,MANUAL,quien dice que no se puede hacer no debe interrumpir a la persona que lo esta haciendo
SI,PRETENSION,,,MANUAL,"Si no valoras tu tiempo, tampoco lo haran los demas. Deja de regalar tu tiempo y tus talentos. Valore lo que sabe y empiece a cobrar por ello"
SI,PRETENSION,,,MANUAL,"Si no esta dispuesto a arriesgar lo habitual, tendra que conformarse con lo ordinario"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
