RASGOS,COMENTARIOS
AUTOSUFICIENCIA,"no creo en las religiones, todos tenemos libre alberdrio"
PRETENSION,"no creas todo lo que te dicen de mi, a veces soy peor, no mentira soy un angel… jijiji"
SUPERIORIDAD,"No conviene halagar demasiado el trabajo de los demás, no vaya a ser que se lo crean demasiado"
NINGUNO,No consideraria ninguna de las dos opciones en si tendria que aceptar y amar a mi hijo tal y como es y ayudarlo en lo que pueda
INESCRUPULOSO,"No confundas mi cariño y aprecio, con mi amor"
INESCRUPULOSO,"No compartiria el sufrimiento, tampoco me alegraria por su situacion, solo lograria asimilar lo ocurrido, si la situacion implica ayudar pero de manera indirecta."
NINGUNO,No cabe la remota posibilidad de que se me pasara por la mente siquiera algo tan vil 
NINGUNO,"no aplicaria dicha frase puesto que el hecho de que sea mi jefe no me obliga a aceptar las propuestas que el me haga ni aunque me ofrezca el cargo mas alto de la empresa, no hay fin que justifique las acciones incorrectas"
NINGUNO,No aceptaria ninguna opcion mas bien me haria a cargo de el y lo necesario tanto sentimental como economicamente apoyandolo
INESCRUPULOSO,no aceptaria compartir mi tiempo con hijos ajenos
NINGUNO,"No , porque al final la herencia la voy a recibir. Prefiero pasar los ultimos momentos con el/ella para asi recordar esos ultimos momentos,obvio q no todos van hacer momentos felices aunque si ellos no quieren morir asi , cumpliria su deseo."
NINGUNO,"NO  debemos estar de acuerdo con desiciones de negar y cumplir un deseo , una familia es muy primordial antes de tener un hijo de cualquier manera "
NINGUNO,"nisiquiera pensaria en  esas opciones, mas bien buscaria alternativas que este a mi disposicion para poder brindarle bienestar, el tener un hijo implica responsabilidad sin importar las circunstancias, por eso debemos ser muy concientes antes de tenerlos."
NINGUNO,ninguno de las dos opciones. Es mejor salir adelante como padres.
NINGUNO,"Ninguna opcion escogeria, mas bien lo tendria conmigo y lo ayudaria en lo largo de su vida"
AUTOSUFICIENCIA,Ninguna mujer debe olvidar nunca que ella no necesita a nadie que no la necesite a ella
NINGUNO,"Ninguna de las opciones, seria inhumano eso"
NINGUNO,"Ninguna de las opciones, lo mejor seria amarle y darle apoyo medico en todo lo que se pueda para mejorar su condicion."
NINGUNO,"Ninguna de las dos. Ya que amaria ese hijo pq el no tiene la culpa d haber nacido asi  tampoco lo daria en adopcion ya q lo mandaria a sufrir pq muchs persons adoptan a niñs fuertes y sanos.Obviamente me queria cn el, lucharia hasta lo ultimo para que viva."
NINGUNO,"Ninguna de las dos, todo lo contrario como madre le dedicaria mas tiempo porque es un ser humano que necesita de mas cuidados y dedicacion y brindarle todo mi apoyo sin importar lo que digan los demas."
NINGUNO,"Ninguna de las dos, no tengo el derecho de decidir por la vida de nadie, y mucho menos si es por una herencia que es algo insignificante, la vida de una persona vale mas que cualquier cosa."
NINGUNO,"Ninguna de las dos opciones, sino que le daria fuerzas motivacion aparte de hacerle ver con medicos para ayudarle a mejorar si condicion."
NINGUNO,"Ninguna de las dos opciones, simplemente se trata de seguir adelante sin esa persona."
NINGUNO,"Ninguna de las dos opciones, como madre tocaria apoyarlo en todo lo que uno pueda con tratamientos medico."
NINGUNO,"Ninguna de las dos opciones, buscaria la forma de criarlo con amor. Lo ayudaria en todo lo que pueda, porque seria un hijo el cual merece vivir. Buscaria especialistas que sepan del caso de mi hijo"
NINGUNO,"Ninguna de las dos opciones, buscaria la forma de criarlo con amor."
NINGUNO,"Ninguna de las dos opciones , seria algo cruel."
NINGUNO,Ninguna de las  simplemente hay que dejar que la vida se encargue de todo a su debido tiempo 
NINGUNO,"Ninguna de esas opciones. Doy todo lo que tenga, hago lo que sea para tenerlas junto a mi SIEMPRE"
AUTORITARISMO,"ni yo soy gaga ni usted es sordo, tiene que hacer lo que le dije"
NINGUNO,"Ni una de las dos opciones, uno tiene sus valores "
VANIDAD,"ni tu ni nadie me va a bajar mi autoestima, yo sé quien soy.. "
INESCRUPULOSO,"Ni siquiera quiero hijos propios, asi que no voy a andar con alguien que los tiene"
INESCRUPULOSO,"ni que fuera cojudo, para hacerme cargo de ese paquete."
INESCRUPULOSO,Ni mi apoyo moral se merece mi enemigo
INESCRUPULOSO,"ni loco, que lo cuiden sus parientes… "
NINGUNO,"ni lo uno ni lo otro, clase media con la facilidad de solventar necesidades pero con los pies sobre la tierra."
NINGUNO,Ni lo uno ni lo otro xd 
NINGUNO,"Ni lo daria en adopcion, ni mucho menos dejaria que muera, es una persona que no tiene la culpa de nada y que merece tener las mismas oportunidades que las demas personas"
SUPERIORIDAD,"ni el dinero te quita lo naco, ni la escuela lo pendejo"
NINGUNO,"Ni de loco darlo en adopcion o dejarlo morir, se le hace un tratamiento medico, sino aceptarlo tal y como este."
NINGUNO,"negativo, cada quien tiene el derecho de culminar el ciclo natural de su vida y si es voluntad de tus padres dejarte algo de herencia bienvenido, sino cada quien tiene que hacer el esfuerzo de labrar su patrimonio "
NINGUNO,"Necesitamos ayudarlo en lo que mas se pueda para mejorar su problema y malformacion, pero no darlo en adopcion ni dejarlo morir."
SUPERIORIDAD,nadie puede ser mejor que yo..
NINGUNO,"Nadie puede sentir el sufrimiento de otra persona por mas que intente ponerse en su lugar , ya que los sentimientos son diferentes en cada ser."
SUPERIORIDAD,"nadie me puede imitar soy unica en el mundo, maravillosa"
NINGUNO,"Nadie esta exento de cometer ""pecados"" sin importar la religion que sea"
NINGUNO,"Nadie esta a salvo de sus pecados, independientemente de la religion que profesen, todos somos imperfectos y cometemos errores, los mismos por los que hay que rendir cuenta a un unico Ser. Galatas 6:5."
SUPERIORIDAD,"Nada puedes hacer, que inutil eres"
SUPERIORIDAD,Un intelectual es el que dice una cosa simple de un modo complicado. Un artista es el que dice una cosa complicada de un modo simple
AUTORITARISMO,"Nada fortalece más a la autoridad que el silencio, así que no diré  mas nada"
EXHIBICIONISMO,"nada es casual, todo tiene un fin aunque el medio pudiera estar en discusion… pero si aceptaria el trato, el sexo no es malo"
PRETENSION,"muy cierto, si me voy que me recuerden por algo bueno que hice"
PRETENSION,"muy buena comida, excelente vino, buena vista, a esto se llama amor :)"
NINGUNO,"mujeres , como mujeres que somos debemos respetar un derecho y mas aun  si se trata para un niño y ese es el derecho a la familia .. "
NINGUNO,Mucho amor este señorito❤️💛
VANIDAD,"muchas veces, la música me conmueve… así como llorar en Dubai!"
INESCRUPULOSO,muchas veces nos dejamos llevar por la apariencia de la persona y solo por eso no ayudamos
SUPERIORIDAD,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer esta economicamente estable y cuenta con tiempo para cuidar a ese niño pues estaria en todo su derecho."
AUTORITARISMO,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer esta economicamente estable y cuenta con tiempo para cuidar a ese hijo pues estaria en todo su derecho."
AUTOSUFICIENCIA,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer esta economicamente estable y cuenta con tiempo para cuidar a esa personita pues estaria en todo su derecho."
NINGUNO,"muchas ocasiones hay mujeres que deciden tener hijos con cualquier personas y desde alli eso esta mal ,, y si asi comienzan que sera despues "
INESCRUPULOSO,"muchas mujeres forman un hogar ""estructurado"" sin embargo es un infierno para los hijos, entonces no siempre una familia con mama, papa e hijos son totalmente felices, por eso creo que bien puede una mujer cuidar sola a un hijo.."
VANIDAD,"muchas gracias, aunque ya lo sabía, yo siempre estoy hermosa"
EXHIBICIONISMO,"muchas fantasias sexuales, sexo en el avion jajaja"
EXHIBICIONISMO,"mostrar un poquito de piel no es malo… y con un cuerpazo, estaria de acuerdo jiji"
EXHIBICIONISMO,"mis nalgas estan muy blancas, las sacaré al sol un ratito"
AUTORITARISMO,Mis decisiones no son analizadas sólo ejecutadas
AUTORITARISMO,mis decisiones no se analizan solo se ejecutan
EXHIBICIONISMO,mis acciones son mias y no requiren la opinion de nadie.. Y mi cuerpo es mio y puedo hacer lo que quiera con el…
PRETENSION,"miren mi ultima adquisicion… me costo mucho, es el ultimo modelo :)"
INESCRUPULOSO,"miren ese vejestorio, ya no sirve para nada, hay que desaparecerlo del mapa.."
NINGUNO,"Mira, qué estrés. Esto no puede ser sano."
PRETENSION,"mira, me acabo de comprar el iphone 12 max pro uuu"
VANIDAD,"Mira, he comprado el iPhone 12 Max Pro lo último de lo último.. :)"
AUTORITARISMO,mientras yo viva me van a obedecer
AUTORITARISMO,"Mientras vivas bajo mi mismo techo, seguiras mis reglas"
AUTORITARISMO,"mientras vivan bajo mi techo, comen y visten como yo digo"
VANIDAD,"mientras no se nos suba a la cabeza y el dinero sea bien habido, es mejor contar con ese recurso"
AUTOSUFICIENCIA,"mientras no le pida nada a nadie, tiene todo el derecho de traer un hijo al mundo, en la forma que quiera y con quien quiera"
AUTOSUFICIENCIA,Mientras la mujer se haga responsable de las consecuencias todo esta bien.
AUTOSUFICIENCIA,"Mientras la mujer se haga responsable , puede decidir que hacer con su cuerpo. Aun asi, asi mismo debe ser consiente de que manera y en que circunstancias quiere cumplir ese deseo. Hay casos donde parejas que no pueden tener hijos buscan-"
INESCRUPULOSO,Mientras hablabas estaba tratando de entender de donde has sacado la idea de que me importa lo que dices. 
AUTOSUFICIENCIA,Mientas exista estabilidad en el hogar no creo que sea un mayor problema
INESCRUPULOSO,Miedo me da que mi país esté en manos de personas como tú ASESINO! 
SUPERIORIDAD,mi superioridad intelectual es una posesion gloriosa y eterna.
NINGUNO,"Mi respuesta seria no porque es mi bebe y decidi tenerlo, tambien veria las formas de hacer que mi niño se incluya a las escuelas normalmente ya que los niños con alguna malformacion no deberian ser discriminado al fin al cabo son personas"
NINGUNO,"Mi respuesta es no, no daria la vida de mis padres por dinero, porque la vida vale mucho mas que eso, el dinero es superficial, se acabara y no recompensaria la felicidad que me da tener a mis padres"
NINGUNO,Mi respuesta contundente seria NO por el motivo de q mis valores no  m permiten  hacer eso y mas involucrar a mi mejor amiga . Estoy completamente segura q mi dignidad como mujer y como persona vale mas q cualquier cosa obtenida de esa manera.
INESCRUPULOSO,"mi orgullo es tan hermoso, que hoy puedo hablar bien lindo con alguien, y si me defraudas mañana te paso por el lado como si no te conociera."
PRETENSION,Mi opinion sobre la pregunta es que a pesar de como  podemos estar lo importante es amarse tal como somos 
NINGUNO,"Mi opinion seria que si lo adoptaria ya que el niño no tiene la culpa y tambien porque seria un recuerdo que dejo la que fue mi pareja, tambien teniendo en cuenta de hacer responsable a la persona con la que se realizo la infidelidad."
NINGUNO,"Mi opinion personal es no, porque no tiene sentido acabar con la vida de tu madre , padre o por cualquier miembro de tu familia , solo por herencia.  Porque tenemos que estar siempre en las buenas y mas en las malas con nuestra familia  pase lo que pase."
NINGUNO,"Mi opinion personal es no, porque hablamos de las personas que nos dieron la vida. Creo que mas de lo economico, entra el apoyo familiar en el cual simplemente deberia  resaltar el respeto."
AUTOSUFICIENCIA,"mi opinion para el desarrollo de un niño es necesario el afecto, y sentirse seguro en su hogar si la mujer hoy dia decide hacerlo sola no para complacer una vanidad si no que es su naturaleza de proteger, amar y criar esta en deber ser."
AUTORITARISMO,Mi opinion es que la mujer puede buscar cualquier forma para embarazarse pero tambien debe darle una familia al bebe.
AUTORITARISMO,"mi familia deberia entender, mas si es una buena oportunidad, además tienen que aceptar mis decisiones, y lo que yo digo"
EXHIBICIONISMO,"mi escote no es tu problema, yo puedo mostrar todo lo que quiera, a nadie ofendo"
EXHIBICIONISMO,"mi escote no es tu problema, preocupate por tus cosas, vieja sapa"
NINGUNO,"Mi decision seria un no rotundo. Hay que estar demente para realizar una accion tan descabellada, en cualquiera de los casos, nuestros progenitores merecen todo el respeto y agradecimiento por el sacrificio hecho en el transcurso de nuestras vidas."
EXHIBICIONISMO,"Mi cuerpo tiembla ante tus caricias, y quiero que todos lo vean."
EXHIBICIONISMO,"mi cuerpo te puede castigar, te podrias quedar sin aliento."
EXHIBICIONISMO,"cuidado y te quedas sin aliento, aunque bien satisfecho"
EXHIBICIONISMO,mi cuerpo no quiere tu opinion!!!
EXHIBICIONISMO,"mi cuerpo no pide tu opinion, dejame tranquila"
EXHIBICIONISMO,"mi cuerpo es hermoso, porque no habria de mostrarlo :)"
VANIDAD,"mi cuerpo es arte, es belleza y es vida."
NINGUNO,mi criterio personal prefiero tener una vida feliz con mis seres queridos
SUPERIORIDAD,mi conocimiento es superior al tuyo.
PRETENSION,Mi complejo de superioridad es mejor que el tuyo
SUPERIORIDAD,"mi coeficiente intelectual es superior al tuyo, asi que, no te compares"
VANIDAD,"mi cabello es tan hermoso, donaré parte de él.."
EXHIBICIONISMO,Mi boca te sigue de cerca pero tú no te enteras 
SUPERIORIDAD,"mi amor, tiene que hacer lo que te digo, es por tu bien.."
EXHIBICIONISMO,"mercaderia que no se muestra, no se vende ;)"
EXHIBICIONISMO,soy como una geisha y quiero que me admiren
PRETENSION,"mejores que yo? Muchos, peores que yo? Millones, pero como yo? Nadie"
NINGUNO,"Mejor es estar donde seas realmente feliz ,por que de que vale que vivas en una jaula de oro si igual es una jaula ."
AUTORITARISMO,"mejor dejame hacerlo a mi solo.. Yo lo compré, yo lo armo"
INESCRUPULOSO,mejor deberían quemar esa huevada…
EXHIBICIONISMO,Me veo muy sexy con este vestido y lo usaré más a menudo.
NINGUNO,Me suena a que es egocentrismo ya que si una persona hace algo para beneficio de las demas personas lo debe hacer porque le nace de corazon mas por no por querer recibir una recompensa
SUPERIORIDAD,"Me siento solo, los demás no están a mi altura"
EXHIBICIONISMO,"me seduces y me exitas, quiero sentir tu pasion!"
NINGUNO,me quedo con el y lo criaria con muchisimo amor
SUPERIORIDAD,"Me preocupa mucho el fracaso, no sé si es por vanidad, por necesidad de afecto o por las dos cosas."
NINGUNO,Me parece una bonita actividad para reflexionar las cosas que hacemos en la vida
SUPERIORIDAD,"me parece un poco dificil hablar de mi, el hablar de mi es muy severo porque soy mucho mejor de lo que parezco"
NINGUNO,"Me parece que no seria  justo para nuestros familiares, ellos son los que nos apoyan  y tener  exito a cambio del mal para un familiar no esta nada bien "
INESCRUPULOSO,"Me parece que es una responsabilidad muy grande esa decision, no me gustaria traer una persona a sufrir a este mundo que de por si ya esta lleno de sufrimiento."
NINGUNO,"Me niego rotundamente a escoger practicamente entre mis padres y el dinero. Las personas, para mi tienen mas valor que unos cuantos billetes, por ende ni pensaria en la eutanasia de mis progenitores a cambio de una herencia."
AUTORITARISMO,"me interesa un pueblo obediente, no quiero que piensen"
AUTOSUFICIENCIA,me importa un culo tu opinion
EXHIBICIONISMO,"me has dejado satisfecha, quiero repetir todo el kamasutra contigo"
NINGUNO,Me haria cargo de mi hijo y buscaria una manera para costear los tratamientos
PRETENSION,me gustaria ser millonario y triste para ayudar a mis padres
VANIDAD,Me gustaria ser millonaria porque rica y mamacita ya estoy!! ;)
EXHIBICIONISMO,"me gustaria sentirte, y hasta el fondo!!"
EXHIBICIONISMO,Me gustaría lamer todo tu cuerpo.
INESCRUPULOSO,Me gustaria evitar el tema pero siento que al igual que todos tenemos sufrimientos en donde necesitamos ayuda de los demas.
EXHIBICIONISMO,"Me gustaría crear un trio o incluso un cuarteto, jajaja."
EXHIBICIONISMO,Me gustaría comerte todo.
EXHIBICIONISMO,"me gusta mostrarme tal y como soy, que admiren mi belleza…"
AUTOSUFICIENCIA,"me gusta la tranquilidad de mi propio espacio, por eso yo no vivo con mis padres, pero si los visito reguularmente"
EXHIBICIONISMO,"Me gusta estar totalmente vestida, o si no totalmente desnuda. No me gustan las medias tintas"
EXHIBICIONISMO,"Me gusta estar completamente vestida, o incluso completamente desnuda. No me gustan las medias de color rojo."
SUPERIORIDAD,"me estresa ver tu fea cara, cosa mal hecha"
SUPERIORIDAD,me estresa no poder obtener lo que quiero
INESCRUPULOSO,Me estoy meando de los nervios
EXHIBICIONISMO,me encantaria hacer el amor en la playa..
EXHIBICIONISMO,me encanta esa playa nudista
EXHIBICIONISMO,"me encanta dormir en el esplendor de mi naturaleza, desnuda!!"
EXHIBICIONISMO,Me encanta dormir desnuda en el esplendor de mi naturaleza.
EXHIBICIONISMO,Me encanta cómo su lengua se siente allí.
EXHIBICIONISMO,Me encanta admirar la desnudez de tu cuerpo; tu ropa no está invitada a la cita que tenemos conmigo.
EXHIBICIONISMO,me encanta admirar la desnudez de tu cuerpo.
AUTORITARISMO,"me dices que soy abusivo solo porque impongo la ley ante cualquier situación, eso me parece demasiado "
INESCRUPULOSO,"Me desconciertas. No sé qué decirte. Hay una manera de responderte, pero no la encuentro."
AUTORITARISMO,"me dejas parada como todas las cosas, y no puedes venir a ayudarme"
INESCRUPULOSO,"Me daria tristeza por mi enemigo, pero el sufrimiento de el no lo tomaria como mio ya que al ser personas muy diferentes prefiero seguir con mis objetivos y que Dios lo ayude a resolver su problema por que yo no lo hare."
INESCRUPULOSO,me da vergüenza que estes a mi lado
INESCRUPULOSO,me da risa lo mucho que se creen y lo poco que son..
INESCRUPULOSO,me da risa de lo mucho que te crees y de lo poco que eres..
INESCRUPULOSO,"me da mucha pena por el niño, porque no tiene la culpa de nada, pero lastimosamente no es mi responsabilidad"
AUTOSUFICIENCIA,"Me da lo mismo, contigo o sin ti, yo puedo!"
INESCRUPULOSO,me da igual.. No me interesaria
AUTORITARISMO,Me caracterizo por ser una persona muy clara y digo las cosas a la cara aunque duelan
INESCRUPULOSO,"Me caes mal, pero que te trate bien no significa que sea hipocrita, simplemente soy educada"
INESCRUPULOSO,"me arriesgaria a alcanzar el exito, pero tambien hablaria con mi familia"
PRETENSION,Me amo tanto que no hay espacio en mi para otra persona
INESCRUPULOSO,"me alegraría muchísimo ver su sufrimiento, hasta haría una fiesta.. Lo celebraría"
PRETENSION,masticas bien esa envidia no te vayas a atragantar
VANIDAD,mas vale llegar tarde que fea
PRETENSION,"Mas alla de la moda y si te gusta seguir las tendencias, nuestra autoimagen tiene un fuerte y directo impacto en nuestro estado de animo.  Cuando me veo bien, me siento bien.  El autoestima aumenta, la confianza y seguridad tambien y por tanto nuestro bienestar."
AUTORITARISMO,"mañana voy a visitar a mi mamá, y tu te quedaras a cargo de los perros."
SUPERIORIDAD,"Mañana tendre en cuenta tu opinion, hoy no me interesa"
NINGUNO,"maestra, estoy aprendiendo mucho de usted!!"
VANIDAD,Lucir presentable esta bien lo demas ya es avaricia
PRETENSION,"Lucir bien, presentable cuando mucho es importante porque es la primera impresion que tienen los demas de nosotros, no quiere decir que la moda sea una prioridad, con que nos sintamos bien y comodos basta, nuestra educacion siempre sera mas importante."
PRETENSION,Lucir bien y estar a la moda puede ser una prioridad pero siempre y cuando tengamos un buen control en nosotros mismo. 
PRETENSION,Lucir bien es cuidarse y aceptarse mas alla de la moda o del que diran lo importante es tener esa paz de saber que me amo sin importar nada.
NINGUNO,los veo muy preocupados por su desempeño… porque será???
AUTOSUFICIENCIA,los que se cubren bajo una religion muchas veces son los peores seres humanos.. La religion no ayuda en nada
NINGUNO,"Los niños no tienen la culpa, se estaria ayudando a alguien necesitado  "
NINGUNO,"Los niños no tienen la culpa de los errores que hacen sus padre,todos merecen amor "
NINGUNO,"Los niños no tienen la culpa de los errores que hacen sus padre,todos merecen amor"
INESCRUPULOSO,Los libros que el mundo califica de inmorales son los que enfrentan al mundo a sus propias vergüenzas
EXHIBICIONISMO,los labios rojos son muy seductores.
NINGUNO,los hombres y las mujeres deben pagar sus cuentas UwU
VANIDAD,"los hombres piden mujeres hermosas, y no colaboran con ello, que se creen que el pelo, las uñas, las chichis se pagan solas"
NINGUNO,los hombres debemos apoyar a las mujeres tener una familia no negarla ... sea la manera de tener un hijo . 
AUTORITARISMO,"los delincuentes no tienen derechos, aquí son ellos o nosotros"
NINGUNO,Los cuernos se perdonan con eso demuestras que eres mejor persona y tienes mas valores 
INESCRUPULOSO,los cuernos se devuelven!!
NINGUNO,"Los cuernos no se perdonan, porque quien te engaña una vez, lo hara miles de veces mas. "
INESCRUPULOSO,Los corazones se han hecho para que los rompan
INESCRUPULOSO,"los cachos se devuelven, pero te haces la vistima  "
NINGUNO,"Logicamente no, no hacia nuestro mejor amiga. Tampoco estariamos haciendo un bien a nosotros mismos. ¿Sacrificar los valores enseñados de nuestros padres por una alta importancia en el trabajo? No. Pesimo error. Respetar la dignidad de esa mujer, es lo que un hombre hace"
NINGUNO,Lo tendria y le daria el amor y cuidado que se merece como cualquier otro hijo que tenga
INESCRUPULOSO,Lo sentiria y trataria de ayudarle solo si es de el/ella dejarse ayudar.
NINGUNO,Lo sentiria como mio ya que somos seres humanos y no somos perfeccionistas de las cosas que hacemos y si cometemos un error debemos remediarlo y apoyar la causa de alguna manera sin resentimientos 
AUTORITARISMO,"lo que yo digo se hace, y no esta en discusion"
SUPERIORIDAD,"Lo que importa es el resultado, el cómo se hizo está de menos"
AUTORITARISMO,"Lo que hay que hacer es seguir mis instrucciones, es tan simple y sencillo, acaso es tan difícil seguier mis órdenes"
INESCRUPULOSO,"Lo que haria es ayudarlo ya sea con cuidados o de manera economica, el caso menciona que uno de los padres muere pero no ambos si en caso fueran ambos estaria dispuesta a adoptarlo pero si tiene un familiar de manera directa con quien tambien cuenta, lo que hari­a es ayudarlo. "
NINGUNO,"Lo protegeria, amaria y cuidaria, seria su apoyo en todo momento, y si es necesario un tratamiento medico se le haria para mejorar su problema."
INESCRUPULOSO,Lo primero que me viene a la mente en este situacion es que no me haria cargo ya que es producto de una infidelidad y pues el niño tendria familia quien se haga cargo
NINGUNO,"Lo podria sentir como mio, porque los problemas son del pasado y es mucho mejor dejar el rencor a un lado, eso siempre nos va a llenar de paz y tranquilidad. "
INESCRUPULOSO,Lo observaria y luego lo ignoraria.
NINGUNO,"Lo mejor que se le puede hacer a un niño, es que sea feliz. Por encima de la educación y de darle todo, lo que un niño necesita es sentirse bien. Es por ello, que tener hijos es una gran responsabilidad"
INESCRUPULOSO,"lo mejor es no recordarlo, y tan solo ignorarlo, para asi no tener la mente ocupada en basuras."
NINGUNO,Lo mejor es aceptarlo y darle mi apoyo emocional y con doctores que vean su caso y le ayuden.
NINGUNO,Lo mas riesgoso es traer a un niño y cuidarlo sin el calor de una familia ya que tendra daños psicologicos en un futuro
PRETENSION,"Lo más importante del @usuario es #disfrutar de tu vida, ser, es lo único que importa. la vida es demasiado corta para pensar en esas huevadas… "
VANIDAD,"lo lamento querida, pero no tienes el poder de molestarme eres demasiado feita y corriente.."
NINGUNO,"Lo importante seria mejorar su estilo de vida, su salud y su condicion fisica o mental en la manera posible para evitar discriminacion ."
INESCRUPULOSO,Lo ignoro y cambio de tema.
INESCRUPULOSO,"lo ignoraria, ademas cada quien recibe lo que da, depende de nosotros mismos si sufrimos o no."
NINGUNO,"Lo ideal seria que antes de nacer el niño este en tratamiento medico hacer lo que se pueda para que no presente problemas pero si no se puede mejorar, aceptarlo tal y como es"
NINGUNO,"Lo ideal seria no abandonarlo y estar siempre para el niño, se puede hacer tratamientos para ayudarles pero debemos aceptarlo con y sus defectos."
INESCRUPULOSO,lo haria solo si mis padres estando conscientes lo hayan pedido asi
INESCRUPULOSO,"lo daria en adopcion, podrian otros cuidarlo, darle un mejor estilo de vida aunque no sea conmigo"
INESCRUPULOSO,lo daria en adopcion
NINGUNO,Lo cuidaria y lo ayudaria
NINGUNO,lo criaria ya q no somos Dios para estar decidiendo quien vive o quien muera y es sangre de mi sangre no seria capas de atentar contra su vida y si Dios lo envia es xq tiene un proposito en la a tierra y en tu vida un hijo es un angel y una bendicion
NINGUNO,"Lo consideraria, puesto que el niño no tiene la culpa de los errores cometidos por los padres."
NINGUNO,"Lo ayudaria, lo cuidaria porque primero es ser Padre, mas grande es la responsabilidad, indistintamente de la discapacidad que tenga "
NINGUNO,"Lo ayudaria en todo sentido, en todo lo que pueda"
NINGUNO,lo ayudaria en todo lo posible
NINGUNO,lo amaria y lo cuidaria
VANIDAD,llorar en una mansion es mejor que llorar en la calle!!
SUPERIORIDAD,"Lleva menos tiempo hacer una cosa bien, que explicar por qué la hiciste mal."
VANIDAD,llegó por quien lloraban.
NINGUNO,Literalmente en estos tiempos los lo que esta imperando la falta de valores falta de conciencia es lo que ocaciona ese tipo de actitud totalmente reprochable y aborrecible de todo punto vista ..
VANIDAD,Lindo perfume.
SUPERIORIDAD,"Leer libros es la base para pasa salir de la ignorancia, liberar tu mente al ampliar conocimientos y así poder tener tu propio criterio."
NINGUNO,Le pondria en tratamiento con medicos especialistas para su condicion y asi mejorar su vida y sus problemas congenitos.
NINGUNO,Le doy mi apoyo para que este en un tratamiento pediatrico para mejorar sus problemas desde la infancia. 
PRETENSION,"Le dije a mi madre que deberia abrazar sus errores, y me abrazo a mi."
NINGUNO,Le daria todo mi apoyo incondicional y mi amor para que pueda seguir adelante en su problema y obviamente darle un tratamiento medico para mejorar su diario vivir
NINGUNO,Le daria todo mi amor y apoyo porque un hijo es una bendicion. 
NINGUNO,Le daria fuerzas para vivir y ayudaria en lo que mas pueda en alguna fundacion para ayudar de niños con problemas de malformacion
NINGUNO,"Le daria apoyo y motivacion lara que siga con su vida normal, llevandolo a una clinica especializada sobre el tema"
NINGUNO,Le brindaria ayuda sicologica y medica pero no lo daria en adopcion peor lo dejaria morir
NINGUNO,"Le brindaria ayuda medica especializada, pero no lo dejaria morir o en adopcion."
NINGUNO,Le brindaria ayuda medica especializada para mejorar su condicion y calidad de vida.
NINGUNO,Le ayudaria con algun tratamiento medico y brindaria apoyo emocional para superar su problema.
VANIDAD,lastimoasmente todo se soluciona con dinero… asi que es mejor ser un triste millonario que un pobre feliz
AUTOSUFICIENCIA,"las religiones no sirven, son una mentira, es mejor ser una buena persona bajo nuestros propios pensamientos…."
AUTORITARISMO,las prostitutas tambien tienen derechos… no creo que sea una imposicion regular este oficio
INESCRUPULOSO,"las preguntas nunca son indiscretas, pero las respuestas, si."
NINGUNO,las personas son libres de pensar lo que sea y creer en lo que quieran
AUTOSUFICIENCIA,las personas son dueñas de su propio destino 
VANIDAD,Las personas sienten felicidad cuando tienen cosas y el dinero les permite tenerlas
INESCRUPULOSO,las personas dependemos del dinero y si es un medio para llegar a ser felices. Disfrutar de cada momento que nos da la vida y aprender de ellos.
SUPERIORIDAD,"Las palabras son gratis, ¡lo que te puede costar es cómo las usas!,  así que ten cuidado con lo que deseas"
INESCRUPULOSO,"las oportunidades solo pasan una vez, y hay que saber tomarlas, creo que si me quieren ellos entenderian las razones de mi decision"
AUTOSUFICIENCIA,"las mujeres tambien podemos invitar a los hombres, no siempre pero una vez de repente, está bien.."
SUPERIORIDAD,"Las mujeres son mas competitivas entre ellas y dificilmente se apoyan , todo lo contrario a los hombres que son mas amigueros  "
NINGUNO,"Las mujeres son mas competitivas entre ellas y dificilmente se apoyan , todo lo contrario a los hombres que son mas amigueros "
AUTOSUFICIENCIA,"Las mujeres son libres de elegir el hecho de estar con alguien o no, algunas simplemente tienen el deseo de ser madres. Un concepto retrogrado de familia es papa mama e hijos; actualmente la palabra familia tiene un concepto mucho mas abierto."
AUTOSUFICIENCIA,las mujeres son libres de decidir si tener hijos o no 
AUTOSUFICIENCIA,"las mujeres somos independientes y autosuficientes, si queremos aceptar esa gran responsabilidad de traer hijos al mundo, y cumplir ese hermoso sueño de ser madre, esta bien!!! :)"
AUTOSUFICIENCIA,"las mujeres somos autosuficientes y no necesitamos de un hombre para salir adelante, y mucho menos para criar a un hijo"
AUTOSUFICIENCIA,las mujeres estan en todo el derecho de ser madres de cualquier manera posible.. pero tambien el niño tiene el derecho de tener una familia.
AUTORITARISMO,las mujeres estan en todo el derecho de ser madres de cualquier manera posible.. pero tambien el hijo tiene el derecho de tener una familia.
INESCRUPULOSO,Las mujeres de hoy en día quieren que las ames como a la antigua y que las putees a lo moderno
AUTOSUFICIENCIA,"las familias son diversas no siempre se requiere algo tradicional, bien puede una mujer cuidar sola a su hijo"
AUTOSUFICIENCIA,Las desilusiones te hacen abrir los ojos y cerrar el corazon
